path,label
cifar10/test/airplane\0000.jpg,airplane
cifar10/test/airplane\0001.jpg,airplane
cifar10/test/airplane\0002.jpg,airplane
cifar10/test/airplane\0003.jpg,airplane
cifar10/test/airplane\0004.jpg,airplane
cifar10/test/airplane\0005.jpg,airplane
cifar10/test/airplane\0006.jpg,airplane
cifar10/test/airplane\0007.jpg,airplane
cifar10/test/airplane\0008.jpg,airplane
cifar10/test/airplane\0009.jpg,airplane
cifar10/test/airplane\0010.jpg,airplane
cifar10/test/airplane\0011.jpg,airplane
cifar10/test/airplane\0012.jpg,airplane
cifar10/test/airplane\0013.jpg,airplane
cifar10/test/airplane\0014.jpg,airplane
cifar10/test/airplane\0015.jpg,airplane
cifar10/test/airplane\0016.jpg,airplane
cifar10/test/airplane\0017.jpg,airplane
cifar10/test/airplane\0018.jpg,airplane
cifar10/test/airplane\0019.jpg,airplane
cifar10/test/airplane\0020.jpg,airplane
cifar10/test/airplane\0021.jpg,airplane
cifar10/test/airplane\0022.jpg,airplane
cifar10/test/airplane\0023.jpg,airplane
cifar10/test/airplane\0024.jpg,airplane
cifar10/test/airplane\0025.jpg,airplane
cifar10/test/airplane\0026.jpg,airplane
cifar10/test/airplane\0027.jpg,airplane
cifar10/test/airplane\0028.jpg,airplane
cifar10/test/airplane\0029.jpg,airplane
cifar10/test/airplane\0030.jpg,airplane
cifar10/test/airplane\0031.jpg,airplane
cifar10/test/airplane\0032.jpg,airplane
cifar10/test/airplane\0033.jpg,airplane
cifar10/test/airplane\0034.jpg,airplane
cifar10/test/airplane\0035.jpg,airplane
cifar10/test/airplane\0036.jpg,airplane
cifar10/test/airplane\0037.jpg,airplane
cifar10/test/airplane\0038.jpg,airplane
cifar10/test/airplane\0039.jpg,airplane
cifar10/test/airplane\0040.jpg,airplane
cifar10/test/airplane\0041.jpg,airplane
cifar10/test/airplane\0042.jpg,airplane
cifar10/test/airplane\0043.jpg,airplane
cifar10/test/airplane\0044.jpg,airplane
cifar10/test/airplane\0045.jpg,airplane
cifar10/test/airplane\0046.jpg,airplane
cifar10/test/airplane\0047.jpg,airplane
cifar10/test/airplane\0048.jpg,airplane
cifar10/test/airplane\0049.jpg,airplane
cifar10/test/airplane\0050.jpg,airplane
cifar10/test/airplane\0051.jpg,airplane
cifar10/test/airplane\0052.jpg,airplane
cifar10/test/airplane\0053.jpg,airplane
cifar10/test/airplane\0054.jpg,airplane
cifar10/test/airplane\0055.jpg,airplane
cifar10/test/airplane\0056.jpg,airplane
cifar10/test/airplane\0057.jpg,airplane
cifar10/test/airplane\0058.jpg,airplane
cifar10/test/airplane\0059.jpg,airplane
cifar10/test/airplane\0060.jpg,airplane
cifar10/test/airplane\0061.jpg,airplane
cifar10/test/airplane\0062.jpg,airplane
cifar10/test/airplane\0063.jpg,airplane
cifar10/test/airplane\0064.jpg,airplane
cifar10/test/airplane\0065.jpg,airplane
cifar10/test/airplane\0066.jpg,airplane
